iter	MultiClass
0	1.571730661
1	1.392400937
2	1.25348318
3	1.146306483
4	1.060783972
5	0.989893389
6	0.9424872744
7	0.8906130874
8	0.846971078
9	0.8178619438
10	0.7844042682
11	0.7609405943
12	0.741257607
13	0.715242199
14	0.700878268
15	0.6795567355
16	0.6647939029
17	0.6427146089
18	0.6310676856
19	0.6191498348
20	0.6063993409
21	0.5826202085
22	0.5730777054
23	0.5558101685
24	0.5449429293
25	0.5347036376
26	0.5291293043
27	0.52003633
28	0.5123270384
29	0.5039258507
30	0.4924993004
31	0.4842298041
32	0.4754029187
33	0.4630092712
34	0.4578265158
35	0.4538050023
36	0.44478303
37	0.4378491847
38	0.4328918073
39	0.4256893314
40	0.411272127
41	0.4042163184
42	0.3973173007
43	0.3903346988
44	0.3821854054
45	0.377113741
46	0.3728567128
47	0.3604605986
48	0.3509503033
49	0.347916531
50	0.3446160577
51	0.339905484
52	0.3353100465
53	0.3298010115
54	0.3247590579
55	0.320387872
56	0.3112972572
57	0.3066772811
58	0.3018895187
59	0.2962344794
60	0.2912131756
61	0.2852464146
62	0.2784377524
63	0.2724782819
64	0.270345419
65	0.2647551331
66	0.2559111298
67	0.2529332073
68	0.2499917926
69	0.2467681707
70	0.2424779942
71	0.2378380532
72	0.2319025338
73	0.226956194
74	0.2230250544
75	0.2202030373
76	0.2158533597
77	0.2129649745
78	0.2104169539
79	0.2074728126
80	0.2033060258
81	0.1974819462
82	0.1928668559
83	0.191550339
84	0.1881829032
85	0.1866116953
86	0.1830978776
87	0.1781530919
88	0.1740452546
89	0.1710366457
90	0.1687726689
91	0.1662451843
92	0.1624470902
93	0.1598615573
94	0.1569450176
95	0.1544131241
96	0.1502318474
97	0.1469012561
98	0.1419689512
99	0.1390210319
100	0.1366133491
101	0.1341514457
102	0.1320601424
103	0.1294672952
104	0.1262246268
105	0.1229877642
106	0.1217126129
107	0.1198896441
108	0.117293511
109	0.1150838943
110	0.1128929321
111	0.1106987387
112	0.1084099906
113	0.1073200549
114	0.1061901098
115	0.1039443096
116	0.10204906
117	0.1009440109
118	0.099088537
119	0.09781147825
120	0.09564205506
121	0.09417088714
122	0.09232877904
123	0.09135342848
124	0.08975143223
125	0.08830906486
126	0.08661815685
127	0.08524764414
128	0.0841296889
129	0.08261668347
130	0.08164465094
131	0.08052045652
132	0.07923481998
133	0.07787957021
134	0.07620627055
135	0.07475085694
136	0.07323255041
137	0.07258072398
138	0.07124292215
139	0.07014982246
140	0.06868969499
141	0.06737749464
142	0.06672261867
143	0.06581090823
144	0.06483691857
145	0.06407042719
146	0.06277237651
147	0.06221372253
148	0.06152166661
149	0.06068205853
150	0.06016128333
151	0.05927558287
152	0.0584001709
153	0.05784992238
154	0.05710596192
155	0.05632602516
156	0.05544492873
157	0.05457807916
158	0.05344345233
159	0.05286136166
160	0.05220540797
161	0.05135795371
162	0.05065561639
163	0.05000368957
164	0.04968650254
165	0.04931800367
166	0.04853526542
167	0.04787475759
168	0.04703252085
169	0.04637085477
170	0.04582214647
171	0.04515749871
172	0.0445259934
173	0.04417300648
174	0.04373933023
175	0.04302077569
176	0.04261454611
177	0.04211570226
178	0.04178110352
179	0.0414650218
180	0.04092315174
181	0.04041176964
182	0.03987321886
183	0.03948858444
184	0.03925191808
185	0.03886027329
186	0.03842747493
187	0.03816913893
188	0.03757450468
189	0.03695177045
190	0.03669355641
191	0.0364408452
192	0.03597737307
193	0.03554430214
194	0.03510850024
195	0.03451805193
196	0.03432872045
197	0.03400975493
198	0.03361039079
199	0.03294305194
200	0.03254608702
201	0.03224905722
202	0.03187935991
203	0.03147689545
204	0.03125399841
205	0.03095525961
206	0.03074387388
207	0.03024279866
208	0.02992758227
209	0.02971202383
210	0.02949501382
211	0.02919951911
212	0.02891801869
213	0.02878681164
214	0.02850714341
215	0.02829329779
216	0.0280471853
217	0.02785867188
